rank,lForm,lemma,pos,subLemma,wType,frequency,pmw,K_acc
1580,クスリ,薬,名詞-普通名詞-一般,,和,6016,57.5075104,B
2357,クセ,癖,名詞-普通名詞-一般,,和,3913,37.4047354,A
795,グタイ,具体,名詞-普通名詞-一般,,漢,11905,113.8010158,A
125,クダサル,下さる,動詞-非自立可能,,和,72328,691.3901612,A
403,クチ,口,名詞-普通名詞-一般,,和,21514,205.6543514,A
2286,クチビル,唇,名詞-普通名詞-一般,,和,4054,38.7525677,A
2812,クチョウ,口調,名詞-普通名詞-一般,,漢,3160,30.2067375,B
2345,クツ,靴,名詞-普通名詞-一般,,和,3934,37.6054764,B
224,クニ,国,名詞-普通名詞-一般,,和,38303,366.141983,A
950,クビ,首,名詞-普通名詞-一般,,和,9988,95.4762323,A
2190,クフウ,工夫,名詞-普通名詞-サ変可能,,漢,4249,40.616591,A
2809,クブン,区分,名詞-普通名詞-サ変可能,,漢,3166,30.2640921,B
2605,クベツ,区別,名詞-普通名詞-サ変可能,,漢,3479,33.2560885,B
1299,クミ,組,名詞-普通名詞-助数詞可能,,和,7399,70.7277376,B
1148,クミアイ,組合,名詞-普通名詞-一般,,和,8426,80.5449273,B
2561,クム,組む,動詞-一般,,和,3542,33.8583115,B
2338,クモ,雲,名詞-普通名詞-一般,,和,3944,37.7010673,B
166,クライ,くらい,助詞-副助詞,,和,51452,491.8345119,
1796,クライ,暗い,形容詞-一般,,和,5277,50.4433398,A
2787,クラシ,暮らし,名詞-普通名詞-一般,,和,3197,30.560424,A
1626,クラス,暮らす,動詞-一般,,和,5824,55.6721643,A
1780,クラス,クラス,名詞-普通名詞-一般,class,外,5319,50.8448217,A
1370,クラブ,クラブ,名詞-普通名詞-一般,club,外,6952,66.4548225,A
700,クラベル,比べる,動詞-一般,,和,13420,128.2830434,A
1420,グラム,グラム,名詞-普通名詞-助数詞可能,,外,6643,63.5010624,A
2403,クリーム,クリーム,名詞-普通名詞-一般,cream,外,3826,36.5730942,A
1037,クリカエス,繰り返す,動詞-一般,,和,9164,87.5995387,B
940,クリック,クリック,名詞-普通名詞-サ変可能,click,外,10084,96.3939053,
43,クル,来る,動詞-非自立可能,,和,238115,2276.163702,B
949,グループ,グループ,名詞-普通名詞-一般,group,外,10000,95.5909414,A
2731,クルシイ,苦しい,形容詞-一般,,和,3283,31.3825061,B
402,クルマ,車,名詞-普通名詞-一般,,和,21623,206.6962927,A
137,クレル,呉れる,動詞-非自立可能,,和,66113,631.9803911,A
1003,クロ,黒,名詞-普通名詞-一般,,和,9446,90.2952033,B
1835,クロイ,黒い,形容詞-一般,,和,5174,49.4587531,B
2104,クロウ,苦労,名詞-普通名詞-サ変形状詞可能,,漢,4462,42.6526781,B
630,クワエル,加える,動詞-一般,,和,14785,141.3312069,B
1030,クワシイ,詳しい,形容詞-一般,,和,9250,88.4216208,B
2729,クワワル,加わる,動詞-一般,,和,3284,31.3920652,B
728,グン,軍,名詞-普通名詞-一般,,漢,12959,123.876301,B
1751,グン,群,名詞-普通名詞-一般,,漢,5407,51.686022,B
2085,グン,郡,名詞-普通名詞-一般,,漢,4512,43.1306328,B
2166,グンジ,軍事,名詞-普通名詞-一般,,漢,4329,41.3813185,B
1459,クンレン,訓練,名詞-普通名詞-サ変可能,,漢,6508,62.2105847,B
551,ケイエイ,経営,名詞-普通名詞-サ変可能,,漢,16611,158.7861128,B
1858,ケイカ,経過,名詞-普通名詞-サ変可能,,漢,5088,48.636671,B
312,ケイカク,計画,名詞-普通名詞-サ変可能,,漢,27588,263.7162892,B
2040,ケイキ,景気,名詞-普通名詞-一般,,漢,4610,44.067424,A
627,ケイケン,経験,名詞-普通名詞-サ変可能,,漢,14806,141.5319479,B
1083,ケイコウ,傾向,名詞-普通名詞-一般,,漢,8840,84.5023922,B
2129,ケイサイ,掲載,名詞-普通名詞-サ変可能,,漢,4396,42.0217779,B
261,ケイザイ,経済,名詞-普通名詞-一般,,漢,33251,317.8494394,A
721,ケイサツ,警察,名詞-普通名詞-一般,,漢,13061,124.8513286,B
909,ケイサン,計算,名詞-普通名詞-サ変可能,,漢,10473,100.112393,A
2076,ケイジ,刑事,名詞-普通名詞-一般,,漢,4538,43.3791692,B
1868,ケイシキ,形式,名詞-普通名詞-一般,,漢,5072,48.4837255,B
1709,ゲイジュツ,芸術,名詞-普通名詞-一般,,漢,5535,52.9095861,A
1176,ケイセイ,形成,名詞-普通名詞-サ変可能,,漢,8190,78.288981,B
1878,ケイゾク,継続,名詞-普通名詞-サ変可能,,漢,5041,48.1873936,B
1153,ケイタイ,携帯,名詞-普通名詞-サ変可能,,漢,8408,80.3728636,B
1904,ケイタイ,形態,名詞-普通名詞-一般,,漢,4985,47.6520843,B
2325,ケイヒ,経費,名詞-普通名詞-一般,,漢,3968,37.9304856,B
691,ケイヤク,契約,名詞-普通名詞-サ変可能,,漢,13594,129.9463258,B
1220,ケース,ケース,名詞-普通名詞-一般,case,外,7927,75.7749393,A
1323,ゲーム,ゲーム,名詞-普通名詞-一般,game,外,7263,69.4277008,A
2656,ケショウ,化粧,名詞-普通名詞-サ変可能,,漢,3400,32.5009201,B
2116,ケス,消す,動詞-一般,,和,4431,42.3563461,A
2370,ケツエキ,血液,名詞-普通名詞-一般,,漢,3891,37.1944353,A
291,ケッカ,結果,名詞-普通名詞-副詞可能,,漢,29482,281.8212135,A
962,ケッキョク,結局,名詞-普通名詞-副詞可能,,漢,9833,93.9945727,A
1211,ケッコウ,結構,副詞,,漢,7965,76.1381849,A
544,ケッコン,結婚,名詞-普通名詞-サ変可能,,漢,16748,160.0957087,A
1150,ケッシテ,決して,副詞,,混,8417,80.4588954,A
584,ケッテイ,決定,名詞-普通名詞-サ変可能,,漢,15690,149.9821871,A
2286,ケツロン,結論,名詞-普通名詞-サ変可能,,漢,4054,38.7525677,A
95,ケレド,けれど,助詞-接続助詞,,和,96910,926.3718134,A
226,ケン,県,名詞-普通名詞-一般,,漢,38132,364.5073779,B
830,ケン,件,名詞-普通名詞-助数詞可能,,漢,11510,110.0251736,B
2269,ケン,券,名詞-普通名詞-一般,,漢,4085,39.0488996,B
2818,ゲン,減,名詞-普通名詞-一般,,漢,3150,30.1111466,A
713,ゲンイン,原因,名詞-普通名詞-サ変可能,,漢,13139,125.5969379,A
2772,ケンカ,喧嘩,名詞-普通名詞-サ変可能,,漢,3228,30.8567559,B
2689,ゲンカイ,限界,名詞-普通名詞-一般,,漢,3341,31.9369335,A
2162,ゲンカン,玄関,名詞-普通名詞-一般,,漢,4337,41.4577913,A
1208,ゲンキ,元気,名詞-普通名詞-形状詞可能,,漢,7990,76.3771622,A
210,ケンキュウ,研究,名詞-普通名詞-サ変可能,,漢,39871,381.1306426,B
1510,ゲンゴ,言語,名詞-普通名詞-一般,,漢,6281,60.0406703,A
501,ケンコウ,健康,名詞-普通名詞-形状詞可能,,漢,18255,174.5012636,B
841,ケンサ,検査,名詞-普通名詞-サ変可能,,漢,11250,107.5398091,B
256,ゲンザイ,現在,名詞-普通名詞-副詞可能,,漢,34006,325.0665554,A
1852,ケンサク,検索,名詞-普通名詞-サ変可能,,漢,5105,48.7991756,
1294,ゲンシ,原子,名詞-普通名詞-一般,,漢,7432,71.0431877,A
774,ゲンジツ,現実,名詞-普通名詞-一般,,漢,12195,116.5731531,A
2138,ケンシュウ,研修,名詞-普通名詞-サ変可能,,漢,4374,41.8114778,B
1002,ゲンショウ,減少,名詞-普通名詞-サ変可能,,漢,9450,90.3334397,A
1648,ゲンショウ,現象,名詞-普通名詞-一般,,漢,5752,54.9839095,A
1786,ゲンジョウ,現状,名詞-普通名詞-一般,,漢,5306,50.7205535,A
2416,ケンスウ,件数,名詞-普通名詞-一般,,漢,3798,36.3054396,B
788,ケンセツ,建設,名詞-普通名詞-サ変可能,,漢,12022,114.9194298,B
1258,ゲンソク,原則,名詞-普通名詞-副詞可能,,漢,7692,73.5285521,A
1270,ゲンダイ,現代,名詞-普通名詞-副詞可能,,漢,7604,72.6873519,A
2238,ゲンチ,現地,名詞-普通名詞-一般,,漢,4153,39.698918,A
1312,ケンチク,建築,名詞-普通名詞-サ変可能,,漢,7328,70.0490419,A
1947,ゲンテイ,限定,名詞-普通名詞-サ変可能,,漢,4845,46.3138111,A
711,ケントウ,検討,名詞-普通名詞-サ変可能,,漢,13182,126.007979,B
1373,ゲンバ,現場,名詞-普通名詞-一般,,混,6937,66.3114361,A
1684,ケンポウ,憲法,名詞-普通名詞-一般,,漢,5608,53.6074,B
2491,ケンメイ,懸命,形状詞-一般,,漢,3670,35.0818755,A
1057,ケンリ,権利,名詞-普通名詞-一般,,漢,9032,86.3377383,B
2766,ゲンリ,原理,名詞-普通名詞-一般,,漢,3235,30.9236696,A
2201,ケンリョク,権力,名詞-普通名詞-一般,,漢,4236,40.4923228,B
289,コ,子,名詞-普通名詞-一般,,和,29535,282.3278455,A
44,ゴ,五,名詞-数詞,,漢,232128,2218.933405,A
408,ゴ,語,名詞-普通名詞-一般,,漢,21136,202.0410138,B
879,ゴ,後,名詞-普通名詞-副詞可能,,漢,10885,104.0507397,B
2307,コイ,恋,名詞-普通名詞-サ変可能,,和,4021,38.4371175,B
2558,コイ,濃い,形容詞-一般,,和,3550,33.9347842,B
151,コウ,こう,副詞,,和,59168,565.5924823,A
373,コウ,項,名詞-普通名詞-一般,,漢,23379,223.482062,B
331,ゴウ,号,名詞-普通名詞-助数詞可能,,漢,25998,248.5173295,B
617,コウイ,行為,名詞-普通名詞-一般,,漢,15031,143.6827441,B
2759,ゴウイ,合意,名詞-普通名詞-サ変可能,,漢,3239,30.9619059,B
963,コウエン,公園,名詞-普通名詞-一般,,漢,9819,93.8607454,B
479,コウカ,効果,名詞-普通名詞-一般,,漢,19080,182.3875163,B
1417,コウカイ,公開,名詞-普通名詞-サ変可能,,漢,6653,63.5966533,B
2097,コウガイ,公害,名詞-普通名詞-一般,,漢,4480,42.8247418,
1240,コウカン,交換,名詞-普通名詞-サ変可能,,漢,7793,74.4940207,B
945,コウキョウ,公共,名詞-普通名詞-一般,,漢,10054,96.1071325,
1485,コウギョウ,工業,名詞-普通名詞-一般,,漢,6400,61.1782025,
1396,コウクウ,航空,名詞-普通名詞-一般,,漢,6793,64.9349265,
1995,ゴウケイ,合計,名詞-普通名詞-サ変可能,,漢,4738,45.2909881,
1306,コウゲキ,攻撃,名詞-普通名詞-サ変可能,,漢,7363,70.3836102,
2498,コウケン,貢献,名詞-普通名詞-サ変可能,,漢,3660,34.9862846,
934,コウコウ,高校,名詞-普通名詞-一般,,漢,10210,97.5983512,
1917,コウコク,広告,名詞-普通名詞-サ変可能,,漢,4935,47.1741296,
2121,コウザ,講座,名詞-普通名詞-一般,,漢,4414,42.1938415,B
1247,コウジ,工事,名詞-普通名詞-サ変可能,,漢,7760,74.1785706,B
2391,コウジョ,控除,名詞-普通名詞-サ変可能,,漢,3845,36.754717,B
1727,コウショウ,交渉,名詞-普通名詞-サ変可能,,漢,5481,52.393395,B
1286,コウジョウ,向上,名詞-普通名詞-サ変可能,,漢,7517,71.8557107,B
1292,コウジョウ,工場,名詞-普通名詞-一般,,漢,7439,71.1101013,B
2114,コウシン,更新,名詞-普通名詞-サ変可能,,漢,4434,42.3850234,B
2637,コウズル,講ずる,動詞-一般,,混,3434,32.8259293,A
819,コウセイ,構成,名詞-普通名詞-サ変可能,,漢,11681,111.6597787,B
1443,コウセイ,厚生,名詞-普通名詞-一般,,漢,6566,62.7650121,B
685,コウゾウ,構造,名詞-普通名詞-一般,,漢,13708,131.0360625,B
2059,コウソク,高速,名詞-普通名詞-形状詞可能,,漢,4573,43.7137375,B
2508,コウチク,構築,名詞-普通名詞-サ変可能,,漢,3640,34.7951027,B
684,コウツウ,交通,名詞-普通名詞-サ変可能,,漢,13732,131.2654808,B
1788,コウド,高度,形状詞-一般,,漢,5299,50.6536399,B
2698,コウトウ,高等,形状詞-一般,,漢,3327,31.8031062,B
576,コウドウ,行動,名詞-普通名詞-サ変可能,,漢,15908,152.0660696,B
872,コウニュウ,購入,名詞-普通名詞-サ変可能,,漢,10934,104.5191354,B
1912,コウハン,後半,名詞-普通名詞-副詞可能,,漢,4945,47.2697205,B
2134,コウフ,交付,名詞-普通名詞-サ変可能,,漢,4390,41.9644233,B
2819,コウベ,コウベ,名詞-固有名詞-地名-一般,,固,3146,30.0729102,B
2549,コウホ,候補,名詞-普通名詞-一般,,漢,3568,34.1068479,B
2593,コウム,公務,名詞-普通名詞-一般,,漢,3493,33.3899158,B
1807,コウモク,項目,名詞-普通名詞-一般,,漢,5245,50.1374488,B
2159,ゴウリ,合理,名詞-普通名詞-一般,,漢,4343,41.5151459,B
1689,コウリツ,効率,名詞-普通名詞-一般,,漢,5599,53.5213681,B
1423,コウリュウ,交流,名詞-普通名詞-サ変可能,,漢,6632,63.3959124,B
2271,コウリョ,考慮,名詞-普通名詞-サ変可能,,漢,4079,38.991545,B
853,コウレイ,高齢,名詞-普通名詞-一般,,漢,11115,106.2493314,B
255,コエ,声,名詞-普通名詞-一般,,和,34120,326.1562922,B
687,コエル,越える,動詞-一般,,和,13692,130.883117,A
1540,コース,コース,名詞-普通名詞-一般,course,外,6137,58.6641608,A
2524,コーナー,コーナー,名詞-普通名詞-一般,corner,外,3611,34.517889,A
1934,コーヒー,コーヒー,名詞-普通名詞-一般,coffee,外,4874,46.5910249,B
2791,コキャク,顧客,名詞-普通名詞-一般,,漢,3189,30.4839512,
2143,コキュウ,呼吸,名詞-普通名詞-サ変可能,,漢,4359,41.6680914,B
2341,ゴク,極く,副詞,,和,3938,37.6437127,A
430,コクサイ,国際,名詞-普通名詞-一般,,漢,20392,194.9290478,A
2429,コクド,国土,名詞-普通名詞-一般,,漢,3775,36.0855804,A
1101,コクナイ,国内,名詞-普通名詞-一般,,漢,8613,82.3324779,A
409,コクミン,国民,名詞-普通名詞-一般,,漢,21037,201.0946635,A
2727,コクム,国務,名詞-普通名詞-一般,,漢,3289,31.4398606,A
2532,コクリツ,国立,名詞-普通名詞-一般,,漢,3596,34.3745025,A
2640,コクレン,国連,名詞-固有名詞-一般,,固,3432,32.8068111,A
157,ココ,此処,代名詞,,和,56797,542.92787,B
513,ゴゴ,午後,名詞-普通名詞-副詞可能,,漢,17890,171.0121942,B
2578,ココノ,九,名詞-数詞,,和,3522,33.6671296,B
272,ココロ,心,名詞-普通名詞-サ変可能,,和,31987,305.7667444,B
159,ゴザル,御座る,動詞-非自立可能,,混,55388,529.4591064,
1315,コシ,腰,名詞-普通名詞-一般,,和,7301,69.7909463,A
109,ゴジュウ,五十,名詞-数詞,,漢,81259,776.762431,B
514,コジン,個人,名詞-普通名詞-一般,,漢,17889,171.0026351,A
1954,コスト,コスト,名詞-普通名詞-一般,cost,外,4827,46.1417474,A
799,ゴセン,五千,名詞-数詞,,漢,11862,113.3899747,A
689,ゴゼン,午前,名詞-普通名詞-副詞可能,,漢,13637,130.3573668,B
550,コソ,こそ,助詞-係助詞,,和,16623,158.9008219,
2284,コソダテ,子育て,名詞-普通名詞-サ変可能,,和,4057,38.7812449,
2464,コダイ,古代,名詞-普通名詞-副詞可能,,漢,3704,35.4068847,A
1436,コタエ,答え,名詞-普通名詞-一般,,和,6588,62.9753122,B
471,コタエル,答える,動詞-一般,,和,19269,184.194185,B
510,コチラ,此方,代名詞,,和,17956,171.6430944,A
758,コッカ,国家,名詞-普通名詞-一般,,漢,12427,118.7908629,A
1894,コッカイ,国会,名詞-普通名詞-一般,,漢,5010,47.8910617,A
1729,コテイ,固定,名詞-普通名詞-サ変可能,,漢,5480,52.3838359,A
19,コト,事,名詞-普通名詞-一般,,和,740949,7082.801246,B
845,コトシ,今年,名詞-普通名詞-副詞可能,,和,11233,107.3773045,A
1770,ゴトシ,ごとし,助動詞,,和,5350,51.1411537,
836,コトナル,異なる,動詞-一般,,和,11375,108.7346959,B
222,コトバ,言葉,名詞-普通名詞-一般,,和,38490,367.9295336,B
149,コドモ,子供,名詞-普通名詞-一般,,和,59470,568.4793287,A
2397,コトワル,断る,動詞-一般,,和,3836,36.6686851,B
2481,コナ,粉,名詞-普通名詞-一般,,和,3684,35.2157028,B
2579,コノミ,好み,名詞-普通名詞-一般,,和,3521,33.6575705,B
1699,ゴハン,御飯,名詞-普通名詞-一般,,漢,5570,53.2441544,B
2793,コピー,コピー,名詞-普通名詞-サ変可能,copy,外,3188,30.4743921,
341,ゴヒャク,五百,名詞-数詞,,漢,25106,239.9906176,B
2567,コベツ,個別,名詞-普通名詞-形状詞可能,,漢,3531,33.7531614,A
2321,コマカイ,細かい,形容詞-一般,,和,3987,38.1121083,B
1015,コマル,困る,動詞-一般,,和,9358,89.454003,B
2008,ゴミ,塵,名詞-普通名詞-一般,,和,4690,44.8321515,B
2708,コメル,込める,動詞-一般,,和,3310,31.6406016,B
2160,ゴメン,御免,名詞-普通名詞-一般,,漢,4340,41.4864686,B
2345,コメント,コメント,名詞-普通名詞-サ変可能,comment,外,3934,37.6054764,
2722,コヤ,小屋,名詞-普通名詞-一般,,和,3293,31.478097,B
1327,コヨウ,雇用,名詞-普通名詞-サ変可能,,漢,7223,69.045337,A
2181,ゴラン,御覧,名詞-普通名詞-一般,,漢,4283,40.9416002,B
2806,ゴルフ,ゴルフ,名詞-普通名詞-一般,golf,外,3167,30.2736512,A
51,コレ,此れ,代名詞,,和,199500,1907.039282,A
268,コロ,頃,名詞-普通名詞-副詞可能,,和,32332,309.0646318,A
1006,コロス,殺す,動詞-一般,,和,9438,90.2187305,A
1233,コワイ,怖い,形容詞-一般,,和,7858,75.1153618,B
560,コンカイ,今回,名詞-普通名詞-副詞可能,,漢,16293,155.7463209,A
2699,コンキョ,根拠,名詞-普通名詞-一般,,漢,3322,31.7553107,A
637,コンゴ,今後,名詞-普通名詞-副詞可能,,漢,14606,139.6201291,B
762,コンド,今度,名詞-普通名詞-副詞可能,,漢,12405,118.5805628,B
2559,コントロール,コントロール,名詞-普通名詞-サ変可能,control,外,3547,33.9061069,A
1931,コンナ,こんな,形状詞-一般,,和,4879,46.6388203,A
1392,コンナン,困難,名詞-普通名詞-形状詞可能,,漢,6803,65.0305175,A
2458,コンニチ,今日,名詞-普通名詞-副詞可能,,漢,3718,35.540712,B
1629,コンピューター,コンピューター,名詞-普通名詞-一般,computer,外,5816,55.5956915,
2799,コンヤ,今夜,名詞-普通名詞-副詞可能,,漢,3172,30.3214466,B
649,サ,さ,助詞-終助詞,,和,14354,137.2112373,
1115,サ,差,名詞-普通名詞-一般,,漢,8571,81.9309959,A
1694,ザ,ザ,名詞-普通名詞-一般,the,外,5582,53.3588635,
549,サービス,サービス,名詞-普通名詞-サ変可能,service,外,16630,158.9677356,A
655,サイ,際,名詞-普通名詞-副詞可能,,漢,14224,135.9685551,B
1166,サイガイ,災害,名詞-普通名詞-一般,,漢,8297,79.3118041,B
405,サイキン,最近,名詞-普通名詞-副詞可能,,漢,21299,203.5991462,B
1564,サイケン,債権,名詞-普通名詞-一般,,漢,6055,57.880315,B
472,サイゴ,最後,名詞-普通名詞-一般,,漢,19246,183.9743259,B
919,サイコウ,最高,名詞-普通名詞-形状詞可能,,漢,10367,99.099129,B
1438,ザイサン,財産,名詞-普通名詞-一般,,漢,6586,62.956194,B
1181,サイシュウ,最終,名詞-普通名詞-一般,,漢,8152,77.9257355,B
437,サイショ,最初,名詞-普通名詞-副詞可能,,漢,20240,193.4760655,B
2581,サイズ,サイズ,名詞-普通名詞-一般,scythe,外,3514,33.5906568,
1624,サイセイ,再生,名詞-普通名詞-サ変可能,,漢,5828,55.7104007,B
1188,ザイセイ,財政,名詞-普通名詞-一般,,漢,8122,77.6389626,B
1059,サイダイ,最大,名詞-普通名詞-一般,,漢,9015,86.1752337,B
2219,サイテイ,最低,名詞-普通名詞-形状詞可能,,漢,4193,40.0812817,B
1242,サイト,サイト,名詞-普通名詞-一般,site,外,7790,74.4653434,
757,サイバン,裁判,名詞-普通名詞-サ変可能,,漢,12440,118.9151311,A
1095,サイボウ,細胞,名詞-普通名詞-一般,,漢,8709,83.2501509,B
1578,サイム,債務,名詞-普通名詞-一般,,漢,6024,57.5839831,B
1462,サイヨウ,採用,名詞-普通名詞-サ変可能,,漢,6496,62.0958756,B
1076,ザイリョウ,材料,名詞-普通名詞-一般,,漢,8892,84.9994651,B
748,サエ,さえ,助詞-副助詞,,和,12526,119.7372132,
881,サガス,探す,動詞-一般,,和,10882,104.0220625,A
1575,サカナ,魚,名詞-普通名詞-一般,,和,6031,57.6508968,A
2061,サガル,下がる,動詞-一般,,和,4563,43.6181466,B
288,サキ,先,名詞-普通名詞-副詞可能,,和,29701,283.9146551,A
1267,サキホド,先程,名詞-普通名詞-副詞可能,,和,7637,73.002802,A
697,サギョウ,作業,名詞-普通名詞-サ変可能,,漢,13458,128.646289,B
2034,サク,咲く,動詞-一般,,和,4624,44.2012513,B
2311,サク,策,名詞-普通名詞-一般,,漢,4014,38.3702039,B
2724,サクゲン,削減,名詞-普通名詞-サ変可能,,漢,3292,31.4685379,A
1812,サクジョ,削除,名詞-普通名詞-サ変可能,,漢,5237,50.060976,A
749,サクセイ,作成,名詞-普通名詞-サ変可能,,漢,12525,119.7276541,B
2618,サクセン,作戦,名詞-普通名詞-一般,,漢,3464,33.1127021,B
2715,サクテイ,策定,名詞-普通名詞-サ変可能,,漢,3302,31.5641289,
1506,サクネン,昨年,名詞-普通名詞-副詞可能,,漢,6312,60.3370022,A
566,サクヒン,作品,名詞-普通名詞-一般,,漢,16098,153.8822975,B
2088,サクラ,桜,名詞-普通名詞-一般,,和,4506,43.0732782,A
1116,サケ,酒,名詞-普通名詞-一般,,和,8568,81.9023186,A
1675,サケブ,叫ぶ,動詞-一般,,和,5646,53.9706455,B
1500,サケル,避ける,動詞-一般,,和,6331,60.518625,A
1988,サゲル,下げる,動詞-一般,,和,4761,45.5108472,B
1678,ササエル,支える,動詞-一般,,和,5617,53.6934318,A
1284,サス,差す,動詞-一般,他動詞,和,7528,71.9608607,B
1890,サスガ,流石,副詞,,和,5015,47.9388571,B
937,サセル,させる,助動詞,,和,10149,97.0152465,
2459,サソウ,誘う,動詞-一般,,和,3717,35.5311529,A
626,サダメル,定める,動詞-一般,,和,14822,141.6848934,B
931,サツエイ,撮影,名詞-普通名詞-サ変可能,,漢,10234,97.8277695,B
1993,サッカ,作家,名詞-普通名詞-一般,,漢,4741,45.3196653,A
1800,サッキ,さっき,名詞-普通名詞-副詞可能,,和,5269,50.366867,A
1615,ザッシ,雑誌,名詞-普通名詞-一般,,漢,5876,56.1692372,B
2494,サツジン,殺人,名詞-普通名詞-一般,,漢,3664,35.0245209,B
2749,サッソク,早速,副詞,,漢,3257,31.1339696,A
2773,サトウ,サトウ,名詞-固有名詞-人名-姓,,固,3224,30.8185195,A
2816,サトウ,砂糖,名詞-普通名詞-一般,,漢,3158,30.1876193,B
2068,サビシイ,寂しい,形容詞-一般,,和,4550,43.4938784,B
2406,サベツ,差別,名詞-普通名詞-サ変可能,,漢,3813,36.448826,B
595,サマザマ,様々,形状詞-一般,,和,15469,147.8696273,A
1517,サムイ,寒い,形容詞-一般,,和,6247,59.7156611,B
1892,サユウ,左右,名詞-普通名詞-サ変可能,,漢,5013,47.9197389,B
1400,サヨウ,作用,名詞-普通名詞-サ変可能,,漢,6782,64.8297765,B
2736,サラ,皿,名詞-普通名詞-助数詞可能,,和,3278,31.3347106,A
450,サラニ,更に,副詞,,和,19929,190.5031872,A
2370,サル,去る,動詞-非自立可能,,和,3891,37.1944353,A
32,サン,三,名詞-数詞,,漢,312292,2985.228628,A
396,サンカ,参加,名詞-普通名詞-サ変可能,,漢,21872,209.0765071,A
588,サンギョウ,産業,名詞-普通名詞-一般,,漢,15659,149.6858552,A
930,サンコウ,参考,名詞-普通名詞-サ変可能,,漢,10241,97.8946831,A
89,サンジュウ,三十,名詞-数詞,,漢,105909,1012.394102,B
961,サンショウ,参照,名詞-普通名詞-サ変可能,,漢,9843,94.0901637,A
675,サンゼン,三千,名詞-数詞,,漢,13847,132.3647766,A
1666,ザンネン,残念,形状詞-一般,,漢,5669,54.1905047,A
368,サンビャク,三百,名詞-数詞,,漢,23594,225.5372672,A
2731,サンポ,散歩,名詞-普通名詞-サ変可能,,漢,3283,31.3825061,A
140,シ,し,助詞-接続助詞,,和,64182,613.5217803,
168,シ,市,名詞-普通名詞-一般,,漢,50766,485.2769733,A
673,シ,四,名詞-数詞,,漢,13871,132.5941949,B
943,シ,死,名詞-普通名詞-一般,,漢,10055,96.1166916,A
2168,シ,詩,名詞-普通名詞-一般,,漢,4321,41.3048458,A
122,ジ,時,名詞-普通名詞-助数詞可能,,漢,72986,697.6800451,
1508,ジ,字,名詞-普通名詞-一般,,漢,6294,60.1649385,B
1301,シアイ,試合,名詞-普通名詞-サ変可能,,和,7384,70.5843512,A
1592,シアワセ,幸せ,名詞-普通名詞-形状詞可能,,和,5953,56.9052874,A
2261,ジイ,爺,名詞-普通名詞-一般,,和,4096,39.1540496,A
1621,シーディー,ＣＤ,名詞-普通名詞-一般,,記号,5857,55.9876144,
2003,シート,シート,名詞-普通名詞-一般,sheet,外,4708,45.0042152,A
2636,シーン,シーン,名詞-普通名詞-一般,scene,外,3436,32.8450475,
2328,ジエイ,自衛,名詞-普通名詞-サ変可能,,漢,3963,37.8826901,A
720,シエン,支援,名詞-普通名詞-サ変可能,,漢,13071,124.9469195,B
1723,シオ,塩,名詞-普通名詞-一般,,和,5488,52.4603087,B
278,シカ,しか,助詞-副助詞,,和,30848,294.8789361,
1556,シカク,資格,名詞-普通名詞-一般,,漢,6093,58.2435606,A
1515,シカタ,仕方,名詞-普通名詞-一般,,和,6266,59.8972839,A
2785,シカタナイ,仕方無い,形容詞-一般,,和,3198,30.5699831,
134,ジカン,時間,名詞-普通名詞-助数詞可能,,漢,67857,648.6514513,A
546,シキ,式,名詞-普通名詞-一般,,漢,16686,159.5030449,B
2778,シキ,指揮,名詞-普通名詞-サ変可能,,漢,3215,30.7324877,B
680,ジキ,時期,名詞-普通名詞-副詞可能,,漢,13807,131.9824128,A
2300,シキュウ,支給,名詞-普通名詞-サ変可能,,漢,4025,38.4753539,A
179,ジギョウ,事業,名詞-普通名詞-一般,,漢,46516,444.6508232,A
847,シキン,資金,名詞-普通名詞-一般,,漢,11181,106.8802316,A
2278,シクミ,仕組み,名詞-普通名詞-一般,,和,4070,38.9055132,A
2056,シゲキ,刺激,名詞-普通名詞-サ変可能,,漢,4577,43.7519739,A
1013,シケン,試験,名詞-普通名詞-サ変可能,,漢,9387,89.7312167,A
1472,シゲン,資源,名詞-普通名詞-一般,,漢,6455,61.7039527,A
407,ジケン,事件,名詞-普通名詞-一般,,漢,21188,202.5380867,A
724,ジコ,自己,名詞-普通名詞-一般,,漢,13019,124.4498466,A
821,ジコ,事故,名詞-普通名詞-一般,,漢,11643,111.2965331,A
2065,シコウ,施行,名詞-普通名詞-サ変可能,,漢,4555,43.5416738,A
1125,ジコウ,事項,名詞-普通名詞-一般,,漢,8536,81.5964276,A
232,シゴト,仕事,名詞-普通名詞-サ変可能,,和,37646,359.8616581,A
2179,シサク,施策,名詞-普通名詞-一般,,漢,4288,40.9893957,A
2493,ジサツ,自殺,名詞-普通名詞-サ変可能,,漢,3666,35.0436391,A
1077,シサン,資産,名詞-普通名詞-一般,,漢,8879,84.8751969,A
1831,シジ,指示,名詞-普通名詞-サ変可能,,漢,5189,49.6021395,A
2430,シジ,支持,名詞-普通名詞-サ変可能,,漢,3772,36.0569031,A
607,ジジツ,事実,名詞-普通名詞-副詞可能,,漢,15163,144.9445445,A
2653,ジシュ,自主,名詞-普通名詞-一般,,漢,3404,32.5391565,A
2527,シシュツ,支出,名詞-普通名詞-サ変可能,,漢,3600,34.4127389,A
