,rank,lForm,lemma,frequency,pmw,roma,syll,mora,K_acc_A,K_acc_B,wType_和,wType_外,wType_漢,pos_副詞,pos_動詞,pos_名詞,pos_形容詞,len_syll_1,len_syll_2,len_syll_3,len_syll_4,len_syll_5,len_mora_1,len_mora_2,len_mora_3,len_mora_4,len_mora_5,len_mora_6,len_mora_7
564,369,キテイ,規定,23512,224.7534215,kitei,"['キ', 'テイ']","['キ', 'テ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
565,2791,キニュウ,記入,3189,30.4839512,kinyuu,"['キ', 'ニュ', 'ウ']","['キ', 'ニュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
566,1435,キネン,記念,6595,63.0422259,kinen,"['キ', 'ネン']","['キ', 'ネ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
567,482,キノウ,機能,18949,181.1352749,kinou,"['キ', 'ノウ']","['キ', 'ノ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
569,2249,キバン,基盤,4128,39.4599406,kiban,"['キ', 'バン']","['キ', 'バ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
571,1144,キブン,気分,8439,80.6691955,kibun,"['キ', 'ブン']","['キ', 'ブ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
572,814,キボ,規模,11701,111.8509606,kibo,"['キ', 'ボ']","['キ', 'ボ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
573,1054,キボウ,希望,9070,86.7009839,kibou,"['キ', 'ボウ']","['キ', 'ボ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
574,367,キホン,基本,23672,226.2828766,kihon,"['キ', 'ホン']","['キ', 'ホ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
577,2402,キミ,気味,3832,36.6304488,kimi,"['キ', 'ミ']","['キ', 'ミ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
578,1187,ギム,義務,8125,77.6676399,gimu,"['ギ', 'ム']","['ギ', 'ム']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
581,1790,ギモン,疑問,5289,50.5580489,gimon,"['ギ', 'モン']","['ギ', 'モ', 'ン']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
582,616,キャク,客,15034,143.7114213,kyaku,"['キャ', 'ク']","['キャ', 'ク']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
583,828,ギャク,逆,11544,110.3501828,giyaku,"['ギャ', 'ク']","['ギャ', 'ク']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
584,76,キュウ,九,129710,1239.910101,kyuu,"['キュ', 'ウ']","['キュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
585,1236,キュウ,急,7846,75.0006526,kyuu,"['キュ', 'ウ']","['キュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
586,1452,キュウ,旧,6538,62.4973575,kyuu,"['キュ', 'ウ']","['キュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
588,2822,キュウシュウ,吸収,3143,30.0442329,kyuushuu,"['キュ', 'ウ', 'シュ', 'ウ']","['キュ', 'ウ', 'シュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
589,163,キュウジュウ,九十,54476,520.7412125,kyuujuu,"['キュ', 'ウ', 'ジュ', 'ウ']","['キュ', 'ウ', 'ジュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
590,1610,キュウセン,九千,5895,56.35086,kyuusen,"['キュ', 'ウ', 'セン']","['キュ', 'ウ', 'セ', 'ン']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
591,119,キュウヒャク,九百,73149,699.2381775,kyuuhyaku,"['キュ', 'ウ', 'ヒャ', 'ク']","['キュ', 'ウ', 'ヒャ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
592,2140,キュウフ,給付,4365,41.7254459,kyuufu,"['キュ', 'ウ', 'フ']","['キュ', 'ウ', 'フ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
594,2538,ギョウ,行,3587,34.2884707,gyou,"['ギョ', 'ウ']","['ギョ', 'ウ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
595,309,キョウイク,教育,27757,265.3317761,kyouiku,"['キョ', 'ウ', 'イ', 'ク']","['キョ', 'ウ', 'イ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
596,1287,キョウカ,強化,7512,71.8079152,kyouka,"['キョ', 'ウ', 'カ']","['キョ', 'ウ', 'カ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
597,2594,キョウカ,教科,3492,33.3803567,kyouka,"['キョ', 'ウ', 'カ']","['キョ', 'ウ', 'カ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
598,1464,キョウカイ,協会,6485,61.9907255,kyoukai,"['キョ', 'ウ', 'カイ']","['キョ', 'ウ', 'カ', 'イ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
599,2334,キョウカイ,教会,3949,37.7488628,kyoukai,"['キョ', 'ウ', 'カイ']","['キョ', 'ウ', 'カ', 'イ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
600,1446,キョウギ,協議,6556,62.6694212,kyougi,"['キョ', 'ウ', 'ギ']","['キョ', 'ウ', 'ギ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
601,1686,キョウキュウ,供給,5605,53.5787227,kyoukyuu,"['キョ', 'ウ', 'キュ', 'ウ']","['キョ', 'ウ', 'キュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
602,2527,キョウサン,共産,3600,34.4127389,kyousan,"['キョ', 'ウ', 'サン']","['キョ', 'ウ', 'サ', 'ン']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
603,1746,キョウシ,教師,5423,51.8389675,kyoushi,"['キョ', 'ウ', 'シ']","['キョ', 'ウ', 'シ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
604,1416,キョウシツ,教室,6654,63.6062124,kyoushitsu,"['キョ', 'ウ', 'シ', 'ツ']","['キョ', 'ウ', 'シ', 'ツ']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
605,1375,キョウジュ,教授,6915,66.101136,kyouju,"['キョ', 'ウ', 'ジュ']","['キョ', 'ウ', 'ジュ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
606,2515,キョウセイ,強制,3619,34.5943617,kyousei,"['キョ', 'ウ', 'セイ']","['キョ', 'ウ', 'セ', 'イ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
607,683,ギョウセイ,行政,13735,131.2941581,gyousei,"['ギョ', 'ウ', 'セイ']","['ギョ', 'ウ', 'セ', 'イ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
608,1477,キョウソウ,競争,6436,61.5223299,kyousou,"['キョ', 'ウ', 'ソウ']","['キョ', 'ウ', 'ソ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
609,2198,キョウダイ,兄弟,4238,40.511441,kyoudai,"['キョ', 'ウ', 'ダイ']","['キョ', 'ウ', 'ダ', 'イ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
610,2509,キョウチョウ,強調,3636,34.7568663,kyouchou,"['キョ', 'ウ', 'チョ', 'ウ']","['キョ', 'ウ', 'チョ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
611,1489,キョウツウ,共通,6376,60.9487843,kyoutsuu,"['キョ', 'ウ', 'ツウ']","['キョ', 'ウ', 'ツ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
612,2276,キョウテイ,協定,4071,38.9150723,kyoutei,"['キョ', 'ウ', 'テイ']","['キョ', 'ウ', 'テ', 'イ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
614,983,キョウドウ,共同,9633,92.0827539,kyoudou,"['キョ', 'ウ', 'ドウ']","['キョ', 'ウ', 'ド', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
615,2413,キョウフ,恐怖,3805,36.3723532,kyoufu,"['キョ', 'ウ', 'フ']","['キョ', 'ウ', 'フ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
616,1172,キョウミ,興味,8229,78.6617857,kyoumi,"['キョ', 'ウ', 'ミ']","['キョ', 'ウ', 'ミ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
617,816,ギョウム,業務,11695,111.793606,gyoumu,"['ギョ', 'ウ', 'ム']","['ギョ', 'ウ', 'ム']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
618,597,キョウリョク,協力,15437,147.5637363,kyouryoku,"['キョ', 'ウ', 'リョ', 'ク']","['キョ', 'ウ', 'リョ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
619,1638,キョカ,許可,5777,55.2228869,kyoka,"['キョ', 'カ']","['キョ', 'カ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
620,561,キョク,局,16280,155.6220527,kyoku,"['キョ', 'ク']","['キョ', 'ク']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
621,904,キョク,曲,10592,101.2499252,kyoku,"['キョ', 'ク']","['キョ', 'ク']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
623,2773,キョヒ,拒否,3224,30.8185195,kyohi,"['キョ', 'ヒ']","['キョ', 'ヒ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
624,1140,キョリ,距離,8455,80.822141,kyori,"['キョ', 'リ']","['キョ', 'リ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
633,922,キロク,記録,10306,98.5160242,kiroku,"['キ', 'ロ', 'ク']","['キ', 'ロ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
635,1231,ギロン,議論,7864,75.1727163,giron,"['ギ', 'ロン']","['ギ', 'ロ', 'ン']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
637,1311,キン,金,7335,70.1159555,kin,['キン'],"['キ', 'ン']",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
638,1066,キンガク,金額,8958,85.6303653,kingaku,"['キン', 'ガ', 'ク']","['キ', 'ン', 'ガ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
639,2032,キンキュウ,緊急,4629,44.2490468,kinkyuu,"['キン', 'キュ', 'ウ']","['キ', 'ン', 'キュ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
640,674,ギンコウ,銀行,13868,132.5655176,ginkou,"['ギン', 'コウ']","['ギ', 'ン', 'コ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
641,1704,キンシ,禁止,5546,53.0147361,kinshi,"['キン', 'シ']","['キ', 'ン', 'シ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
642,2460,キンジョ,近所,3715,35.5120347,kinjo,"['キン', 'ジョ']","['キ', 'ン', 'ジョ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
643,2498,キンゾク,金属,3660,34.9862846,kinzoku,"['キン', 'ゾ', 'ク']","['キ', 'ン', 'ゾ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
644,1671,キンダイ,近代,5655,54.0566774,kindai,"['キン', 'ダイ']","['キ', 'ン', 'ダ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
645,1969,キンチョウ,緊張,4801,45.893211,kinchou,"['キン', 'チョ', 'ウ']","['キ', 'ン', 'チョ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
646,2635,キンニク,筋肉,3438,32.8641657,kinniku,"['キン', 'ニ', 'ク']","['キ', 'ン', 'ニ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
647,2173,キンネン,近年,4309,41.1901367,kinnen,"['キン', 'ネン']","['キ', 'ン', 'ネ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
648,1808,キンム,勤務,5240,50.0896533,kinmu,"['キン', 'ム']","['キ', 'ン', 'ム']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
649,831,キンユウ,金融,11508,110.0060554,kinyuu,"['キン', 'ユウ']","['キ', 'ン', 'ユ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
650,2523,キンリ,金利,3615,34.5561253,kinri,"['キン', 'リ']","['キ', 'ン', 'リ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
651,504,ク,区,18128,173.2872586,ku,['ク'],['ク'],0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
652,2687,グ,具,3343,31.9560517,gu,['グ'],['グ'],0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
654,2383,クイキ,区域,3860,36.8981034,kuiki,"['ク', 'イ', 'キ']","['ク', 'イ', 'キ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
656,1353,クウカン,空間,7040,67.2960228,kuukan,"['クウ', 'カン']","['ク', 'ウ', 'カ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
657,1546,クウキ,空気,6121,58.5112153,kuuki,"['クウ', 'キ']","['ク', 'ウ', 'キ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
658,1887,クウコウ,空港,5020,47.9866526,kuukou,"['クウ', 'コウ']","['ク', 'ウ', 'コ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
662,795,グタイ,具体,11905,113.8010158,gutai,"['グ', 'タイ']","['グ', 'タ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
666,2812,クチョウ,口調,3160,30.2067375,kuchou,"['ク', 'チョ', 'ウ']","['ク', 'チョ', 'ウ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
670,2190,クフウ,工夫,4249,40.616591,kufuu,"['ク', 'フウ']","['ク', 'フ', 'ウ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
671,2809,クブン,区分,3166,30.2640921,kubun,"['ク', 'ブン']","['ク', 'ブ', 'ン']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
672,2605,クベツ,区別,3479,33.2560885,kubetsu,"['ク', 'ベ', 'ツ']","['ク', 'ベ', 'ツ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
695,2104,クロウ,苦労,4462,42.6526781,kurou,"['ク', 'ロウ']","['ク', 'ロ', 'ウ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
699,728,グン,軍,12959,123.876301,gun,['グン'],"['グ', 'ン']",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
700,1751,グン,群,5407,51.686022,gun,['グン'],"['グ', 'ン']",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
701,2085,グン,郡,4512,43.1306328,gun,['グン'],"['グ', 'ン']",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
702,2166,グンジ,軍事,4329,41.3813185,gunji,"['グン', 'ジ']","['グ', 'ン', 'ジ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
703,1459,クンレン,訓練,6508,62.2105847,kunren,"['クン', 'レン']","['ク', 'ン', 'レ', 'ン']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
704,551,ケイエイ,経営,16611,158.7861128,keiei,"['ケイ', 'エイ']","['ケ', 'イ', 'エ', 'イ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
705,1858,ケイカ,経過,5088,48.636671,keika,"['ケイ', 'カ']","['ケ', 'イ', 'カ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
706,312,ケイカク,計画,27588,263.7162892,keikaku,"['ケイ', 'カ', 'ク']","['ケ', 'イ', 'カ', 'ク']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
707,2040,ケイキ,景気,4610,44.067424,keiki,"['ケイ', 'キ']","['ケ', 'イ', 'キ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
708,627,ケイケン,経験,14806,141.5319479,keiken,"['ケイ', 'ケン']","['ケ', 'イ', 'ケ', 'ン']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
709,1083,ケイコウ,傾向,8840,84.5023922,keikou,"['ケイ', 'コウ']","['ケ', 'イ', 'コ', 'ウ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
710,2129,ケイサイ,掲載,4396,42.0217779,keisai,"['ケイ', 'サイ']","['ケ', 'イ', 'サ', 'イ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
711,261,ケイザイ,経済,33251,317.8494394,keizai,"['ケイ', 'ザイ']","['ケ', 'イ', 'ザ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
712,721,ケイサツ,警察,13061,124.8513286,keisatsu,"['ケイ', 'サ', 'ツ']","['ケ', 'イ', 'サ', 'ツ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
713,909,ケイサン,計算,10473,100.112393,keisan,"['ケイ', 'サン']","['ケ', 'イ', 'サ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
714,2076,ケイジ,刑事,4538,43.3791692,keiji,"['ケイ', 'ジ']","['ケ', 'イ', 'ジ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
715,1868,ケイシキ,形式,5072,48.4837255,keishiki,"['ケイ', 'シ', 'キ']","['ケ', 'イ', 'シ', 'キ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
716,1709,ゲイジュツ,芸術,5535,52.9095861,geijutsu,"['ゲイ', 'ジュ', 'ツ']","['ゲ', 'イ', 'ジュ', 'ツ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
717,1176,ケイセイ,形成,8190,78.288981,keisei,"['ケイ', 'セイ']","['ケ', 'イ', 'セ', 'イ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
718,1878,ケイゾク,継続,5041,48.1873936,keizoku,"['ケイ', 'ゾ', 'ク']","['ケ', 'イ', 'ゾ', 'ク']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
719,1153,ケイタイ,携帯,8408,80.3728636,keitai,"['ケイ', 'タイ']","['ケ', 'イ', 'タ', 'イ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
720,1904,ケイタイ,形態,4985,47.6520843,keitai,"['ケイ', 'タイ']","['ケ', 'イ', 'タ', 'イ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
721,2325,ケイヒ,経費,3968,37.9304856,keihi,"['ケイ', 'ヒ']","['ケ', 'イ', 'ヒ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
722,691,ケイヤク,契約,13594,129.9463258,keiyaku,"['ケイ', 'ヤ', 'ク']","['ケ', 'イ', 'ヤ', 'ク']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
725,2656,ケショウ,化粧,3400,32.5009201,keshou,"['ケ', 'ショ', 'ウ']","['ケ', 'ショ', 'ウ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
727,2370,ケツエキ,血液,3891,37.1944353,ketsueki,"['ケ', 'ツ', 'エ', 'キ']","['ケ', 'ツ', 'エ', 'キ']",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
728,291,ケッカ,結果,29482,281.8212135,kekka,"['ケッ', 'カ']","['ケ', 'ッ', 'カ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
729,962,ケッキョク,結局,9833,93.9945727,kekkyoku,"['ケッ', 'キョ', 'ク']","['ケ', 'ッ', 'キョ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
731,544,ケッコン,結婚,16748,160.0957087,kekkon,"['ケッ', 'コン']","['ケ', 'ッ', 'コ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
733,584,ケッテイ,決定,15690,149.9821871,kettei,"['ケッ', 'テイ']","['ケ', 'ッ', 'テ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
734,2286,ケツロン,結論,4054,38.7525677,ketsuron,"['ケ', 'ツ', 'ロン']","['ケ', 'ツ', 'ロ', 'ン']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
736,226,ケン,県,38132,364.5073779,ken,['ケン'],"['ケ', 'ン']",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
737,830,ケン,件,11510,110.0251736,ken,['ケン'],"['ケ', 'ン']",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
738,2269,ケン,券,4085,39.0488996,ken,['ケン'],"['ケ', 'ン']",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
739,2818,ゲン,減,3150,30.1111466,gen,['ゲン'],"['ゲ', 'ン']",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
740,713,ゲンイン,原因,13139,125.5969379,gen'in,"['ゲン', 'イン']","['ゲ', 'ン', 'イ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
741,2772,ケンカ,喧嘩,3228,30.8567559,kenka,"['ケン', 'カ']","['ケ', 'ン', 'カ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
742,2689,ゲンカイ,限界,3341,31.9369335,genkai,"['ゲン', 'カイ']","['ゲ', 'ン', 'カ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
743,2162,ゲンカン,玄関,4337,41.4577913,genkan,"['ゲン', 'カン']","['ゲ', 'ン', 'カ', 'ン']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
744,1208,ゲンキ,元気,7990,76.3771622,genki,"['ゲン', 'キ']","['ゲ', 'ン', 'キ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
745,210,ケンキュウ,研究,39871,381.1306426,kenkyuu,"['ケン', 'キュ', 'ウ']","['ケ', 'ン', 'キュ', 'ウ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
746,1510,ゲンゴ,言語,6281,60.0406703,gengo,"['ゲン', 'ゴ']","['ゲ', 'ン', 'ゴ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
747,501,ケンコウ,健康,18255,174.5012636,kenkou,"['ケン', 'コウ']","['ケ', 'ン', 'コ', 'ウ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
748,841,ケンサ,検査,11250,107.5398091,kensa,"['ケン', 'サ']","['ケ', 'ン', 'サ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
749,256,ゲンザイ,現在,34006,325.0665554,genzai,"['ゲン', 'ザイ']","['ゲ', 'ン', 'ザ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
751,1294,ゲンシ,原子,7432,71.0431877,genshi,"['ゲン', 'シ']","['ゲ', 'ン', 'シ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
752,774,ゲンジツ,現実,12195,116.5731531,genjitsu,"['ゲン', 'ジ', 'ツ']","['ゲ', 'ン', 'ジ', 'ツ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
753,2138,ケンシュウ,研修,4374,41.8114778,kenshuu,"['ケン', 'シュ', 'ウ']","['ケ', 'ン', 'シュ', 'ウ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
754,1002,ゲンショウ,減少,9450,90.3334397,genshou,"['ゲン', 'ショ', 'ウ']","['ゲ', 'ン', 'ショ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
755,1648,ゲンショウ,現象,5752,54.9839095,genshou,"['ゲン', 'ショ', 'ウ']","['ゲ', 'ン', 'ショ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
756,1786,ゲンジョウ,現状,5306,50.7205535,genjou,"['ゲン', 'ジョ', 'ウ']","['ゲ', 'ン', 'ジョ', 'ウ']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
757,2416,ケンスウ,件数,3798,36.3054396,kensuu,"['ケン', 'スウ']","['ケ', 'ン', 'ス', 'ウ']",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
758,788,ケンセツ,建設,12022,114.9194298,kensetsu,"['ケン', 'セ', 'ツ']","['ケ', 'ン', 'セ', 'ツ']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
759,1258,ゲンソク,原則,7692,73.5285521,gensoku,"['ゲン', 'ソ', 'ク']","['ゲ', 'ン', 'ソ', 'ク']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
760,1270,ゲンダイ,現代,7604,72.6873519,gendai,"['ゲン', 'ダイ']","['ゲ', 'ン', 'ダ', 'イ']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
