,rank,lForm,lemma,pos,wType,frequency,pmw,K_acc,len_syll,len_mora,roma,syll,mora
709,1083,ケイコウ,傾向,名詞,漢,8840,84.5023922,B,2,4,keikou,"['ケイ', 'コウ']","['ケ', 'イ', 'コ', 'ウ']"
710,2129,ケイサイ,掲載,名詞,漢,4396,42.0217779,B,2,4,keisai,"['ケイ', 'サイ']","['ケ', 'イ', 'サ', 'イ']"
711,261,ケイザイ,経済,名詞,漢,33251,317.8494394,A,2,4,keizai,"['ケイ', 'ザイ']","['ケ', 'イ', 'ザ', 'イ']"
712,721,ケイサツ,警察,名詞,漢,13061,124.8513286,B,3,4,keisatsu,"['ケイ', 'サ', 'ツ']","['ケ', 'イ', 'サ', 'ツ']"
713,909,ケイサン,計算,名詞,漢,10473,100.112393,A,2,4,keisan,"['ケイ', 'サン']","['ケ', 'イ', 'サ', 'ン']"
714,2076,ケイジ,刑事,名詞,漢,4538,43.3791692,B,2,3,keiji,"['ケイ', 'ジ']","['ケ', 'イ', 'ジ']"
715,1868,ケイシキ,形式,名詞,漢,5072,48.4837255,B,3,4,keishiki,"['ケイ', 'シ', 'キ']","['ケ', 'イ', 'シ', 'キ']"
716,1709,ゲイジュツ,芸術,名詞,漢,5535,52.9095861,A,3,4,geijutsu,"['ゲイ', 'ジュ', 'ツ']","['ゲ', 'イ', 'ジュ', 'ツ']"
717,1176,ケイセイ,形成,名詞,漢,8190,78.288981,B,2,4,keisei,"['ケイ', 'セイ']","['ケ', 'イ', 'セ', 'イ']"
718,1878,ケイゾク,継続,名詞,漢,5041,48.1873936,B,3,4,keizoku,"['ケイ', 'ゾ', 'ク']","['ケ', 'イ', 'ゾ', 'ク']"
719,1153,ケイタイ,携帯,名詞,漢,8408,80.3728636,B,2,4,keitai,"['ケイ', 'タイ']","['ケ', 'イ', 'タ', 'イ']"
720,1904,ケイタイ,形態,名詞,漢,4985,47.6520843,B,2,4,keitai,"['ケイ', 'タイ']","['ケ', 'イ', 'タ', 'イ']"
721,2325,ケイヒ,経費,名詞,漢,3968,37.9304856,B,2,3,keihi,"['ケイ', 'ヒ']","['ケ', 'イ', 'ヒ']"
722,691,ケイヤク,契約,名詞,漢,13594,129.9463258,B,3,4,keiyaku,"['ケイ', 'ヤ', 'ク']","['ケ', 'イ', 'ヤ', 'ク']"
725,2656,ケショウ,化粧,名詞,漢,3400,32.5009201,B,3,3,keshou,"['ケ', 'ショ', 'ウ']","['ケ', 'ショ', 'ウ']"
727,2370,ケツエキ,血液,名詞,漢,3891,37.1944353,A,4,4,ketsueki,"['ケ', 'ツ', 'エ', 'キ']","['ケ', 'ツ', 'エ', 'キ']"
728,291,ケッカ,結果,名詞,漢,29482,281.8212135,A,2,3,kekka,"['ケッ', 'カ']","['ケ', 'ッ', 'カ']"
729,962,ケッキョク,結局,名詞,漢,9833,93.9945727,A,3,4,kekkyoku,"['ケッ', 'キョ', 'ク']","['ケ', 'ッ', 'キョ', 'ク']"
731,544,ケッコン,結婚,名詞,漢,16748,160.0957087,A,2,4,kekkon,"['ケッ', 'コン']","['ケ', 'ッ', 'コ', 'ン']"
733,584,ケッテイ,決定,名詞,漢,15690,149.9821871,A,2,4,kettei,"['ケッ', 'テイ']","['ケ', 'ッ', 'テ', 'イ']"
734,2286,ケツロン,結論,名詞,漢,4054,38.7525677,A,3,4,ketsuron,"['ケ', 'ツ', 'ロン']","['ケ', 'ツ', 'ロ', 'ン']"
736,226,ケン,県,名詞,漢,38132,364.5073779,B,1,2,ken,['ケン'],"['ケ', 'ン']"
737,830,ケン,件,名詞,漢,11510,110.0251736,B,1,2,ken,['ケン'],"['ケ', 'ン']"
738,2269,ケン,券,名詞,漢,4085,39.0488996,B,1,2,ken,['ケン'],"['ケ', 'ン']"
739,2818,ゲン,減,名詞,漢,3150,30.1111466,A,1,2,gen,['ゲン'],"['ゲ', 'ン']"
740,713,ゲンイン,原因,名詞,漢,13139,125.5969379,A,2,4,gen'in,"['ゲン', 'イン']","['ゲ', 'ン', 'イ', 'ン']"
741,2772,ケンカ,喧嘩,名詞,漢,3228,30.8567559,B,2,3,kenka,"['ケン', 'カ']","['ケ', 'ン', 'カ']"
742,2689,ゲンカイ,限界,名詞,漢,3341,31.9369335,A,2,4,genkai,"['ゲン', 'カイ']","['ゲ', 'ン', 'カ', 'イ']"
743,2162,ゲンカン,玄関,名詞,漢,4337,41.4577913,A,2,4,genkan,"['ゲン', 'カン']","['ゲ', 'ン', 'カ', 'ン']"
744,1208,ゲンキ,元気,名詞,漢,7990,76.3771622,A,2,3,genki,"['ゲン', 'キ']","['ゲ', 'ン', 'キ']"
745,210,ケンキュウ,研究,名詞,漢,39871,381.1306426,B,3,4,kenkyuu,"['ケン', 'キュ', 'ウ']","['ケ', 'ン', 'キュ', 'ウ']"
746,1510,ゲンゴ,言語,名詞,漢,6281,60.0406703,A,2,3,gengo,"['ゲン', 'ゴ']","['ゲ', 'ン', 'ゴ']"
747,501,ケンコウ,健康,名詞,漢,18255,174.5012636,B,2,4,kenkou,"['ケン', 'コウ']","['ケ', 'ン', 'コ', 'ウ']"
748,841,ケンサ,検査,名詞,漢,11250,107.5398091,B,2,3,kensa,"['ケン', 'サ']","['ケ', 'ン', 'サ']"
749,256,ゲンザイ,現在,名詞,漢,34006,325.0665554,A,2,4,genzai,"['ゲン', 'ザイ']","['ゲ', 'ン', 'ザ', 'イ']"
751,1294,ゲンシ,原子,名詞,漢,7432,71.0431877,A,2,3,genshi,"['ゲン', 'シ']","['ゲ', 'ン', 'シ']"
752,774,ゲンジツ,現実,名詞,漢,12195,116.5731531,A,3,4,genjitsu,"['ゲン', 'ジ', 'ツ']","['ゲ', 'ン', 'ジ', 'ツ']"
753,2138,ケンシュウ,研修,名詞,漢,4374,41.8114778,B,3,4,kenshuu,"['ケン', 'シュ', 'ウ']","['ケ', 'ン', 'シュ', 'ウ']"
754,1002,ゲンショウ,減少,名詞,漢,9450,90.3334397,A,3,4,genshou,"['ゲン', 'ショ', 'ウ']","['ゲ', 'ン', 'ショ', 'ウ']"
755,1648,ゲンショウ,現象,名詞,漢,5752,54.9839095,A,3,4,genshou,"['ゲン', 'ショ', 'ウ']","['ゲ', 'ン', 'ショ', 'ウ']"
756,1786,ゲンジョウ,現状,名詞,漢,5306,50.7205535,A,3,4,genjou,"['ゲン', 'ジョ', 'ウ']","['ゲ', 'ン', 'ジョ', 'ウ']"
757,2416,ケンスウ,件数,名詞,漢,3798,36.3054396,B,2,4,kensuu,"['ケン', 'スウ']","['ケ', 'ン', 'ス', 'ウ']"
758,788,ケンセツ,建設,名詞,漢,12022,114.9194298,B,3,4,kensetsu,"['ケン', 'セ', 'ツ']","['ケ', 'ン', 'セ', 'ツ']"
759,1258,ゲンソク,原則,名詞,漢,7692,73.5285521,A,3,4,gensoku,"['ゲン', 'ソ', 'ク']","['ゲ', 'ン', 'ソ', 'ク']"
760,1270,ゲンダイ,現代,名詞,漢,7604,72.6873519,A,2,4,gendai,"['ゲン', 'ダイ']","['ゲ', 'ン', 'ダ', 'イ']"
761,2238,ゲンチ,現地,名詞,漢,4153,39.698918,A,2,3,genchi,"['ゲン', 'チ']","['ゲ', 'ン', 'チ']"
762,1312,ケンチク,建築,名詞,漢,7328,70.0490419,A,3,4,kenchiku,"['ケン', 'チ', 'ク']","['ケ', 'ン', 'チ', 'ク']"
763,1947,ゲンテイ,限定,名詞,漢,4845,46.3138111,A,2,4,gentei,"['ゲン', 'テイ']","['ゲ', 'ン', 'テ', 'イ']"
764,711,ケントウ,検討,名詞,漢,13182,126.007979,B,2,4,kentou,"['ケン', 'トウ']","['ケ', 'ン', 'ト', 'ウ']"
766,1684,ケンポウ,憲法,名詞,漢,5608,53.6074,B,2,4,kenpou,"['ケン', 'ポウ']","['ケ', 'ン', 'ポ', 'ウ']"
768,1057,ケンリ,権利,名詞,漢,9032,86.3377383,B,2,3,kenri,"['ケン', 'リ']","['ケ', 'ン', 'リ']"
769,2766,ゲンリ,原理,名詞,漢,3235,30.9236696,A,2,3,genri,"['ゲン', 'リ']","['ゲ', 'ン', 'リ']"
770,2201,ケンリョク,権力,名詞,漢,4236,40.4923228,B,3,4,kenryoku,"['ケン', 'リョ', 'ク']","['ケ', 'ン', 'リョ', 'ク']"
772,44,ゴ,五,名詞,漢,232128,2218.933405,A,1,1,go,['ゴ'],['ゴ']
773,408,ゴ,語,名詞,漢,21136,202.0410138,B,1,1,go,['ゴ'],['ゴ']
774,879,ゴ,後,名詞,漢,10885,104.0507397,B,1,1,go,['ゴ'],['ゴ']
778,373,コウ,項,名詞,漢,23379,223.482062,B,1,2,kou,['コウ'],"['コ', 'ウ']"
779,331,ゴウ,号,名詞,漢,25998,248.5173295,B,1,2,gou,['ゴウ'],"['ゴ', 'ウ']"
780,617,コウイ,行為,名詞,漢,15031,143.6827441,B,2,3,koui,"['コウ', 'イ']","['コ', 'ウ', 'イ']"
781,2759,ゴウイ,合意,名詞,漢,3239,30.9619059,B,2,3,goui,"['ゴウ', 'イ']","['ゴ', 'ウ', 'イ']"
782,963,コウエン,公園,名詞,漢,9819,93.8607454,B,2,4,kouen,"['コウ', 'エン']","['コ', 'ウ', 'エ', 'ン']"
783,479,コウカ,効果,名詞,漢,19080,182.3875163,B,2,3,kouka,"['コウ', 'カ']","['コ', 'ウ', 'カ']"
784,1417,コウカイ,公開,名詞,漢,6653,63.5966533,B,2,4,koukai,"['コウ', 'カイ']","['コ', 'ウ', 'カ', 'イ']"
786,1240,コウカン,交換,名詞,漢,7793,74.4940207,B,2,4,koukan,"['コウ', 'カン']","['コ', 'ウ', 'カ', 'ン']"
795,2121,コウザ,講座,名詞,漢,4414,42.1938415,B,2,3,kouza,"['コウ', 'ザ']","['コ', 'ウ', 'ザ']"
796,1247,コウジ,工事,名詞,漢,7760,74.1785706,B,2,3,kouji,"['コウ', 'ジ']","['コ', 'ウ', 'ジ']"
797,2391,コウジョ,控除,名詞,漢,3845,36.754717,B,2,3,koujo,"['コウ', 'ジョ']","['コ', 'ウ', 'ジョ']"
798,1727,コウショウ,交渉,名詞,漢,5481,52.393395,B,3,4,koushou,"['コウ', 'ショ', 'ウ']","['コ', 'ウ', 'ショ', 'ウ']"
799,1286,コウジョウ,向上,名詞,漢,7517,71.8557107,B,3,4,koujou,"['コウ', 'ジョ', 'ウ']","['コ', 'ウ', 'ジョ', 'ウ']"
800,1292,コウジョウ,工場,名詞,漢,7439,71.1101013,B,3,4,koujou,"['コウ', 'ジョ', 'ウ']","['コ', 'ウ', 'ジョ', 'ウ']"
801,2114,コウシン,更新,名詞,漢,4434,42.3850234,B,2,4,koushin,"['コウ', 'シン']","['コ', 'ウ', 'シ', 'ン']"
803,819,コウセイ,構成,名詞,漢,11681,111.6597787,B,2,4,kousei,"['コウ', 'セイ']","['コ', 'ウ', 'セ', 'イ']"
804,1443,コウセイ,厚生,名詞,漢,6566,62.7650121,B,2,4,kousei,"['コウ', 'セイ']","['コ', 'ウ', 'セ', 'イ']"
805,685,コウゾウ,構造,名詞,漢,13708,131.0360625,B,2,4,kouzou,"['コウ', 'ゾウ']","['コ', 'ウ', 'ゾ', 'ウ']"
806,2059,コウソク,高速,名詞,漢,4573,43.7137375,B,3,4,kousoku,"['コウ', 'ソ', 'ク']","['コ', 'ウ', 'ソ', 'ク']"
807,2508,コウチク,構築,名詞,漢,3640,34.7951027,B,3,4,kouchiku,"['コウ', 'チ', 'ク']","['コ', 'ウ', 'チ', 'ク']"
808,684,コウツウ,交通,名詞,漢,13732,131.2654808,B,2,4,koutsuu,"['コウ', 'ツウ']","['コ', 'ウ', 'ツ', 'ウ']"
811,576,コウドウ,行動,名詞,漢,15908,152.0660696,B,2,4,koudou,"['コウ', 'ドウ']","['コ', 'ウ', 'ド', 'ウ']"
812,872,コウニュウ,購入,名詞,漢,10934,104.5191354,B,3,4,kounyuu,"['コウ', 'ニュ', 'ウ']","['コ', 'ウ', 'ニュ', 'ウ']"
813,1912,コウハン,後半,名詞,漢,4945,47.2697205,B,2,4,kouhan,"['コウ', 'ハン']","['コ', 'ウ', 'ハ', 'ン']"
814,2134,コウフ,交付,名詞,漢,4390,41.9644233,B,2,3,koufu,"['コウ', 'フ']","['コ', 'ウ', 'フ']"
816,2549,コウホ,候補,名詞,漢,3568,34.1068479,B,2,3,kouho,"['コウ', 'ホ']","['コ', 'ウ', 'ホ']"
817,2593,コウム,公務,名詞,漢,3493,33.3899158,B,2,3,koumu,"['コウ', 'ム']","['コ', 'ウ', 'ム']"
818,1807,コウモク,項目,名詞,漢,5245,50.1374488,B,3,4,koumoku,"['コウ', 'モ', 'ク']","['コ', 'ウ', 'モ', 'ク']"
819,2159,ゴウリ,合理,名詞,漢,4343,41.5151459,B,2,3,gouri,"['ゴウ', 'リ']","['ゴ', 'ウ', 'リ']"
820,1689,コウリツ,効率,名詞,漢,5599,53.5213681,B,3,4,kouritsu,"['コウ', 'リ', 'ツ']","['コ', 'ウ', 'リ', 'ツ']"
821,1423,コウリュウ,交流,名詞,漢,6632,63.3959124,B,3,4,kouryuu,"['コウ', 'リュ', 'ウ']","['コ', 'ウ', 'リュ', 'ウ']"
822,2271,コウリョ,考慮,名詞,漢,4079,38.991545,B,2,3,kouryo,"['コウ', 'リョ']","['コ', 'ウ', 'リョ']"
823,853,コウレイ,高齢,名詞,漢,11115,106.2493314,B,2,4,kourei,"['コウ', 'レイ']","['コ', 'ウ', 'レ', 'イ']"
830,2143,コキュウ,呼吸,名詞,漢,4359,41.6680914,B,3,3,kokyuu,"['コ', 'キュ', 'ウ']","['コ', 'キュ', 'ウ']"
832,430,コクサイ,国際,名詞,漢,20392,194.9290478,A,3,4,kokusai,"['コ', 'ク', 'サイ']","['コ', 'ク', 'サ', 'イ']"
833,2429,コクド,国土,名詞,漢,3775,36.0855804,A,3,3,kokudo,"['コ', 'ク', 'ド']","['コ', 'ク', 'ド']"
834,1101,コクナイ,国内,名詞,漢,8613,82.3324779,A,3,4,kokunai,"['コ', 'ク', 'ナイ']","['コ', 'ク', 'ナ', 'イ']"
835,409,コクミン,国民,名詞,漢,21037,201.0946635,A,3,4,kokumin,"['コ', 'ク', 'ミン']","['コ', 'ク', 'ミ', 'ン']"
836,2727,コクム,国務,名詞,漢,3289,31.4398606,A,3,3,kokumu,"['コ', 'ク', 'ム']","['コ', 'ク', 'ム']"
837,2532,コクリツ,国立,名詞,漢,3596,34.3745025,A,4,4,kokuritsu,"['コ', 'ク', 'リ', 'ツ']","['コ', 'ク', 'リ', 'ツ']"
840,513,ゴゴ,午後,名詞,漢,17890,171.0121942,B,2,2,gogo,"['ゴ', 'ゴ']","['ゴ', 'ゴ']"
845,109,ゴジュウ,五十,名詞,漢,81259,776.762431,B,3,3,gojuu,"['ゴ', 'ジュ', 'ウ']","['ゴ', 'ジュ', 'ウ']"
846,514,コジン,個人,名詞,漢,17889,171.0026351,A,2,3,kojin,"['コ', 'ジン']","['コ', 'ジ', 'ン']"
848,799,ゴセン,五千,名詞,漢,11862,113.3899747,A,2,3,gosen,"['ゴ', 'セン']","['ゴ', 'セ', 'ン']"
849,689,ゴゼン,午前,名詞,漢,13637,130.3573668,B,2,3,gozen,"['ゴ', 'ゼン']","['ゴ', 'ゼ', 'ン']"
852,2464,コダイ,古代,名詞,漢,3704,35.4068847,A,2,3,kodai,"['コ', 'ダイ']","['コ', 'ダ', 'イ']"
856,758,コッカ,国家,名詞,漢,12427,118.7908629,A,2,3,kokka,"['コッ', 'カ']","['コ', 'ッ', 'カ']"
857,1894,コッカイ,国会,名詞,漢,5010,47.8910617,A,2,4,kokkai,"['コッ', 'カイ']","['コ', 'ッ', 'カ', 'イ']"
858,1729,コテイ,固定,名詞,漢,5480,52.3838359,A,2,3,kotei,"['コ', 'テイ']","['コ', 'テ', 'イ']"
868,1699,ゴハン,御飯,名詞,漢,5570,53.2441544,B,2,3,gohan,"['ゴ', 'ハン']","['ゴ', 'ハ', 'ン']"
870,341,ゴヒャク,五百,名詞,漢,25106,239.9906176,B,3,3,gohyaku,"['ゴ', 'ヒャ', 'ク']","['ゴ', 'ヒャ', 'ク']"
871,2567,コベツ,個別,名詞,漢,3531,33.7531614,A,3,3,kobetsu,"['コ', 'ベ', 'ツ']","['コ', 'ベ', 'ツ']"
876,2160,ゴメン,御免,名詞,漢,4340,41.4864686,B,2,3,gomen,"['ゴ', 'メン']","['ゴ', 'メ', 'ン']"
879,1327,コヨウ,雇用,名詞,漢,7223,69.045337,A,2,3,koyou,"['コ', 'ヨウ']","['コ', 'ヨ', 'ウ']"
880,2181,ゴラン,御覧,名詞,漢,4283,40.9416002,B,2,3,goran,"['ゴ', 'ラン']","['ゴ', 'ラ', 'ン']"
886,560,コンカイ,今回,名詞,漢,16293,155.7463209,A,2,4,konkai,"['コン', 'カイ']","['コ', 'ン', 'カ', 'イ']"
887,2699,コンキョ,根拠,名詞,漢,3322,31.7553107,A,2,3,konkyo,"['コン', 'キョ']","['コ', 'ン', 'キョ']"
888,637,コンゴ,今後,名詞,漢,14606,139.6201291,B,2,3,kongo,"['コン', 'ゴ']","['コ', 'ン', 'ゴ']"
889,762,コンド,今度,名詞,漢,12405,118.5805628,B,2,3,kondo,"['コン', 'ド']","['コ', 'ン', 'ド']"
892,1392,コンナン,困難,名詞,漢,6803,65.0305175,A,2,4,konnan,"['コン', 'ナン']","['コ', 'ン', 'ナ', 'ン']"
893,2458,コンニチ,今日,名詞,漢,3718,35.540712,B,3,4,konnichi,"['コン', 'ニ', 'チ']","['コ', 'ン', 'ニ', 'チ']"
895,2799,コンヤ,今夜,名詞,漢,3172,30.3214466,B,2,3,konya,"['コン', 'ヤ']","['コ', 'ン', 'ヤ']"
897,1115,サ,差,名詞,漢,8571,81.9309959,A,1,1,sa,['サ'],['サ']
900,655,サイ,際,名詞,漢,14224,135.9685551,B,1,2,sai,['サイ'],"['サ', 'イ']"
901,1166,サイガイ,災害,名詞,漢,8297,79.3118041,B,2,4,saigai,"['サイ', 'ガイ']","['サ', 'イ', 'ガ', 'イ']"
902,405,サイキン,最近,名詞,漢,21299,203.5991462,B,2,4,saikin,"['サイ', 'キン']","['サ', 'イ', 'キ', 'ン']"
903,1564,サイケン,債権,名詞,漢,6055,57.880315,B,2,4,saiken,"['サイ', 'ケン']","['サ', 'イ', 'ケ', 'ン']"
904,472,サイゴ,最後,名詞,漢,19246,183.9743259,B,2,3,saigo,"['サイ', 'ゴ']","['サ', 'イ', 'ゴ']"
905,919,サイコウ,最高,名詞,漢,10367,99.099129,B,2,4,saikou,"['サイ', 'コウ']","['サ', 'イ', 'コ', 'ウ']"
906,1438,ザイサン,財産,名詞,漢,6586,62.956194,B,2,4,zaisan,"['ザイ', 'サン']","['ザ', 'イ', 'サ', 'ン']"
907,1181,サイシュウ,最終,名詞,漢,8152,77.9257355,B,3,4,saishuu,"['サイ', 'シュ', 'ウ']","['サ', 'イ', 'シュ', 'ウ']"
908,437,サイショ,最初,名詞,漢,20240,193.4760655,B,2,3,saisho,"['サイ', 'ショ']","['サ', 'イ', 'ショ']"
910,1624,サイセイ,再生,名詞,漢,5828,55.7104007,B,2,4,saisei,"['サイ', 'セイ']","['サ', 'イ', 'セ', 'イ']"
911,1188,ザイセイ,財政,名詞,漢,8122,77.6389626,B,2,4,zaisei,"['ザイ', 'セイ']","['ザ', 'イ', 'セ', 'イ']"
912,1059,サイダイ,最大,名詞,漢,9015,86.1752337,B,2,4,saidai,"['サイ', 'ダイ']","['サ', 'イ', 'ダ', 'イ']"
913,2219,サイテイ,最低,名詞,漢,4193,40.0812817,B,2,4,saitei,"['サイ', 'テイ']","['サ', 'イ', 'テ', 'イ']"
915,757,サイバン,裁判,名詞,漢,12440,118.9151311,A,2,4,saiban,"['サイ', 'バン']","['サ', 'イ', 'バ', 'ン']"
916,1095,サイボウ,細胞,名詞,漢,8709,83.2501509,B,2,4,saibou,"['サイ', 'ボウ']","['サ', 'イ', 'ボ', 'ウ']"
917,1578,サイム,債務,名詞,漢,6024,57.5839831,B,2,3,saimu,"['サイ', 'ム']","['サ', 'イ', 'ム']"
918,1462,サイヨウ,採用,名詞,漢,6496,62.0958756,B,2,4,saiyou,"['サイ', 'ヨウ']","['サ', 'イ', 'ヨ', 'ウ']"
919,1076,ザイリョウ,材料,名詞,漢,8892,84.9994651,B,3,4,zairyou,"['ザイ', 'リョ', 'ウ']","['ザ', 'イ', 'リョ', 'ウ']"
926,697,サギョウ,作業,名詞,漢,13458,128.646289,B,3,3,sagyou,"['サ', 'ギョ', 'ウ']","['サ', 'ギョ', 'ウ']"
928,2311,サク,策,名詞,漢,4014,38.3702039,B,2,2,saku,"['サ', 'ク']","['サ', 'ク']"
929,2724,サクゲン,削減,名詞,漢,3292,31.4685379,A,3,4,sakugen,"['サ', 'ク', 'ゲン']","['サ', 'ク', 'ゲ', 'ン']"
930,1812,サクジョ,削除,名詞,漢,5237,50.060976,A,3,3,sakujo,"['サ', 'ク', 'ジョ']","['サ', 'ク', 'ジョ']"
931,749,サクセイ,作成,名詞,漢,12525,119.7276541,B,3,4,sakusei,"['サ', 'ク', 'セイ']","['サ', 'ク', 'セ', 'イ']"
932,2618,サクセン,作戦,名詞,漢,3464,33.1127021,B,3,4,sakusen,"['サ', 'ク', 'セン']","['サ', 'ク', 'セ', 'ン']"
934,1506,サクネン,昨年,名詞,漢,6312,60.3370022,A,3,4,sakunen,"['サ', 'ク', 'ネン']","['サ', 'ク', 'ネ', 'ン']"
935,566,サクヒン,作品,名詞,漢,16098,153.8822975,B,3,4,sakuhin,"['サ', 'ク', 'ヒン']","['サ', 'ク', 'ヒ', 'ン']"
947,931,サツエイ,撮影,名詞,漢,10234,97.8277695,B,3,4,satsuei,"['サ', 'ツ', 'エイ']","['サ', 'ツ', 'エ', 'イ']"
948,1993,サッカ,作家,名詞,漢,4741,45.3196653,A,2,3,sakka,"['サッ', 'カ']","['サ', 'ッ', 'カ']"
950,1615,ザッシ,雑誌,名詞,漢,5876,56.1692372,B,2,3,zasshi,"['ザッ', 'シ']","['ザ', 'ッ', 'シ']"
951,2494,サツジン,殺人,名詞,漢,3664,35.0245209,B,3,4,satsujin,"['サ', 'ツ', 'ジン']","['サ', 'ツ', 'ジ', 'ン']"
954,2816,サトウ,砂糖,名詞,漢,3158,30.1876193,B,2,3,satou,"['サ', 'トウ']","['サ', 'ト', 'ウ']"
956,2406,サベツ,差別,名詞,漢,3813,36.448826,B,3,3,sabetsu,"['サ', 'ベ', 'ツ']","['サ', 'ベ', 'ツ']"
959,1892,サユウ,左右,名詞,漢,5013,47.9197389,B,2,3,sayuu,"['サ', 'ユウ']","['サ', 'ユ', 'ウ']"
960,1400,サヨウ,作用,名詞,漢,6782,64.8297765,B,2,3,sayou,"['サ', 'ヨウ']","['サ', 'ヨ', 'ウ']"
964,32,サン,三,名詞,漢,312292,2985.228628,A,1,2,san,['サン'],"['サ', 'ン']"
965,396,サンカ,参加,名詞,漢,21872,209.0765071,A,2,3,sanka,"['サン', 'カ']","['サ', 'ン', 'カ']"
966,588,サンギョウ,産業,名詞,漢,15659,149.6858552,A,3,4,sangyou,"['サン', 'ギョ', 'ウ']","['サ', 'ン', 'ギョ', 'ウ']"
967,930,サンコウ,参考,名詞,漢,10241,97.8946831,A,2,4,sankou,"['サン', 'コウ']","['サ', 'ン', 'コ', 'ウ']"
968,89,サンジュウ,三十,名詞,漢,105909,1012.394102,B,3,4,sanjuu,"['サン', 'ジュ', 'ウ']","['サ', 'ン', 'ジュ', 'ウ']"
969,961,サンショウ,参照,名詞,漢,9843,94.0901637,A,3,4,sanshou,"['サン', 'ショ', 'ウ']","['サ', 'ン', 'ショ', 'ウ']"
970,675,サンゼン,三千,名詞,漢,13847,132.3647766,A,2,4,sanzen,"['サン', 'ゼン']","['サ', 'ン', 'ゼ', 'ン']"
972,368,サンビャク,三百,名詞,漢,23594,225.5372672,A,3,4,sanbyaku,"['サン', 'ビャ', 'ク']","['サ', 'ン', 'ビャ', 'ク']"
973,2731,サンポ,散歩,名詞,漢,3283,31.3825061,A,2,3,sanpo,"['サン', 'ポ']","['サ', 'ン', 'ポ']"
975,168,シ,市,名詞,漢,50766,485.2769733,A,1,1,shi,['シ'],['シ']
976,673,シ,四,名詞,漢,13871,132.5941949,B,1,1,shi,['シ'],['シ']
977,943,シ,死,名詞,漢,10055,96.1166916,A,1,1,shi,['シ'],['シ']
978,2168,シ,詩,名詞,漢,4321,41.3048458,A,1,1,shi,['シ'],['シ']
980,1508,ジ,字,名詞,漢,6294,60.1649385,B,1,1,ji,['ジ'],['ジ']
987,2328,ジエイ,自衛,名詞,漢,3963,37.8826901,A,2,3,jiei,"['ジ', 'エイ']","['ジ', 'エ', 'イ']"
988,720,シエン,支援,名詞,漢,13071,124.9469195,B,2,3,shien,"['シ', 'エン']","['シ', 'エ', 'ン']"
991,1556,シカク,資格,名詞,漢,6093,58.2435606,A,3,3,shikaku,"['シ', 'カ', 'ク']","['シ', 'カ', 'ク']"
994,134,ジカン,時間,名詞,漢,67857,648.6514513,A,2,3,jikan,"['ジ', 'カン']","['ジ', 'カ', 'ン']"
995,546,シキ,式,名詞,漢,16686,159.5030449,B,2,2,shiki,"['シ', 'キ']","['シ', 'キ']"
996,2778,シキ,指揮,名詞,漢,3215,30.7324877,B,2,2,shiki,"['シ', 'キ']","['シ', 'キ']"
997,680,ジキ,時期,名詞,漢,13807,131.9824128,A,2,2,jiki,"['ジ', 'キ']","['ジ', 'キ']"
998,2300,シキュウ,支給,名詞,漢,4025,38.4753539,A,3,3,shikyuu,"['シ', 'キュ', 'ウ']","['シ', 'キュ', 'ウ']"
999,179,ジギョウ,事業,名詞,漢,46516,444.6508232,A,3,3,jigyou,"['ジ', 'ギョ', 'ウ']","['ジ', 'ギョ', 'ウ']"
1000,847,シキン,資金,名詞,漢,11181,106.8802316,A,2,3,shikin,"['シ', 'キン']","['シ', 'キ', 'ン']"
1002,2056,シゲキ,刺激,名詞,漢,4577,43.7519739,A,3,3,shigeki,"['シ', 'ゲ', 'キ']","['シ', 'ゲ', 'キ']"
1003,1013,シケン,試験,名詞,漢,9387,89.7312167,A,2,3,shiken,"['シ', 'ケン']","['シ', 'ケ', 'ン']"
1004,1472,シゲン,資源,名詞,漢,6455,61.7039527,A,2,3,shigen,"['シ', 'ゲン']","['シ', 'ゲ', 'ン']"
1005,407,ジケン,事件,名詞,漢,21188,202.5380867,A,2,3,jiken,"['ジ', 'ケン']","['ジ', 'ケ', 'ン']"
1006,724,ジコ,自己,名詞,漢,13019,124.4498466,A,2,2,jiko,"['ジ', 'コ']","['ジ', 'コ']"
1007,821,ジコ,事故,名詞,漢,11643,111.2965331,A,2,2,jiko,"['ジ', 'コ']","['ジ', 'コ']"
1008,2065,シコウ,施行,名詞,漢,4555,43.5416738,A,2,3,shikou,"['シ', 'コウ']","['シ', 'コ', 'ウ']"
1009,1125,ジコウ,事項,名詞,漢,8536,81.5964276,A,2,3,jikou,"['ジ', 'コウ']","['ジ', 'コ', 'ウ']"
1011,2179,シサク,施策,名詞,漢,4288,40.9893957,A,3,3,shisaku,"['シ', 'サ', 'ク']","['シ', 'サ', 'ク']"
1012,2493,ジサツ,自殺,名詞,漢,3666,35.0436391,A,3,3,jisatsu,"['ジ', 'サ', 'ツ']","['ジ', 'サ', 'ツ']"
1013,1077,シサン,資産,名詞,漢,8879,84.8751969,A,2,3,shisan,"['シ', 'サン']","['シ', 'サ', 'ン']"
1014,1831,シジ,指示,名詞,漢,5189,49.6021395,A,2,2,shiji,"['シ', 'ジ']","['シ', 'ジ']"
1015,2430,シジ,支持,名詞,漢,3772,36.0569031,A,2,2,shiji,"['シ', 'ジ']","['シ', 'ジ']"
